UserID,Username,Password
1,lile,p@ssw0rd123
2,emda,secret123
3,nowi,password123
4,olta,letmein123
5,elja,qwerty123
6,avma,iloveyou123
7,wihe,123456789
8,soro,abcdef123
9,jajo,summer123
10,isan,football123
11,beth,sunshine123
12,mima,welcome123
13,lucl,123abcxyz
14,chle,pass123word
15,hewa,123qweasd
16,amha,iloveme123
17,alwr,monkey123
18,hatu,admin123
19,mipa,dragon123
20,abad,abc123456
21,daca,letmein321
22,emco,1234abcd
23,mane,iloveu123
24,elca,567890123
25,dape,qazwsx123
26,sarah_park,P@rkSarah123
27,james_lee,L33James#
28,emily_chen,Ch3nEmily!
29,david_kim,K1mDavid$
30,rachel_wong,W0ngRach#el
31,daniel_rod,R0dDaniel$
32,melissa_singh,SingMel1ssa!
33,emma_j,Pa$$w0rd
34,ethan_w,3xample!
35,olivia_b,Qwerty12
36,noah_j,P@ssw0rd
37,ava_g,9!p0n3H#
38,liam_r,P@$$word
39,sophia_m,s0m3pass
40,mason_d,4t#3f3m!
41,isabella_h,Passw0rd!
42,benjamin_w,b3nji3!
43,mia_a,c0mpl3xP@ss
44,elijah_t,R@inb0w#
45,charlotte_j,Ch@rl!3!
46,oliver_w,P@ssw0rd1
47,amelia_h,Ame!ia123
